Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Type
Summer Honey,168,0.047,,337,American Blonde Ale,12,Other Ale
Scape Goat Pale Ale (2010),159,0.05,40,337,English Pale Ale,12,Other Ale
Montana Trout Slayer Ale (2009),35,0.05,35,337,American Pale Wheat Ale,12,Other Ale
Moose Drool Brown Ale (2009),34,0.051,26,337,American Brown Ale,12,Other Ale
Arcus IPA,2096,0.069,81,222,American IPA,12,IPA
Wavemaker,2095,0.058,38,222,American Amber / Red Ale,12,Other Ale
Jack Pine Savage,1257,0.053,43,445,American Pale Ale (APA),16,APA
Forest Fire Imperial Smoked Rye,1256,0.099,85,445,Rye Beer,16,Other
Bad Axe Imperial IPA,1255,0.098,76,445,American Double / Imperial IPA,16,IPA
Morning Wood,986,0.055,35,445,Oatmeal Stout,16,Other
Bark Bite IPA,985,0.066,50,445,American IPA,16,IPA
Jalapeno Pale Ale,2508,0.055,45,71,American Pale Ale (APA),16,APA
Blown Out Brown,1441,0.052,,408,American Brown Ale,12,Other Ale
Single Hop Ale,1413,0.063,,408,American Pale Ale (APA),12,APA
Sawtooth Ale,1411,0.054,,408,American Blonde Ale,12,Other Ale
Saucy Intruder,2620,0.072,75,19,Rye Beer,16,Other
Deception,2412,0.045,16,113,American Blonde Ale,12,Other Ale
Blackmarket Rye IPA,1898,0.075,35,113,American IPA,12,IPA
Black Market Hefeweizen,1897,0.05,8,113,Hefeweizen,12,Other
Aftermath Pale Ale,1896,0.058,44,113,American Pale Ale (APA),12,APA
American India Red Ale,1850,0.071,83,295,American Strong Ale,12,Other Ale
American Red Porter,1849,0.071,45,295,American Porter,12,Other
American Red Saison,1848,0.078,34,295,Saison / Farmhouse Ale,12,Other Ale
Colorado Red Ale,1847,0.066,44,295,American Amber / Red Ale,12,Other Ale
Saddle Bronc Brown Ale,2485,0.048,16,80,American Brown Ale,12,Other Ale
Bomber Mountain Amber Ale,2484,0.046,20,80,American Amber / Red Ale,12,Other Ale
Flying Sailor,2449,0.073,,96,Rye Beer,12,Other
Nordskye ,2634,0.048,47,13,American IPA,12,IPA
North Third Stout,2153,0.06,30,13,Foreign / Export Stout,12,Other
Honey Lav,1953,0.052,,13,American Pale Wheat Ale,12,Other Ale
Coconut Brown Ale,1496,0.068,,13,American Brown Ale,12,Other Ale
51K IPA,1481,0.07,51,13,American IPA,12,IPA
Grand Rabbits,1480,0.055,,13,Cream Ale,12,Other Ale
1800 Big Log Wheat (2012),1564,0.05,,381,American Pale Wheat Ale,12,Other Ale
Double Play Pilsner,1541,,,381,American Pilsner,12,Other
Brewerhood Brown Ale,1321,0.055,,381,American Brown Ale,12,Other Ale
Last Call Imperial Amber Ale,1320,0.08,,381,American Amber / Red Ale,12,Other Ale
Pernicious Double IPA,1319,0.096,,381,American Double / Imperial IPA,12,IPA
6-4-3 Double Play Pilsner,1303,0.052,,381,German Pilsener,12,Other
N Street Drive-In 50th Anniversary IPA,1025,,,381,American Double / Imperial IPA,12,IPA
467 Ethan's Stout,1012,0.05,,381,American Stout,12,Other
1335 Wicked Snout,942,0.064,,381,Saison / Farmhouse Ale,12,Other Ale
543 Skull Creek Fresh Hopped Pale Ale,937,0.045,,381,American Pale Ale (APA),12,APA
1327 Pod's ESB,888,0.056,37,381,Extra Special / Strong Bitter (ESB),12,Other
1327 Pod's ESB,886,0.056,37,381,Extra Special / Strong Bitter (ESB),12,Other
1327 Pod's ESB,612,0.056,37,381,Extra Special / Strong Bitter (ESB),12,Other
834 Happy As Ale,611,0.046,35,381,American Pale Ale (APA),12,APA
Yellow Collar,1372,0.059,,423,Mead,12,Other
Green Collar,1371,0.059,,423,Mead,12,Other
Quarter Mile Double IPA,1812,0.08,80,305,American Double / Imperial IPA,12,IPA
Full Nelson Pale Ale,1547,0.059,60,383,American Pale Ale (APA),12,APA
Steel Wheels ESB,1546,0.065,30,383,Extra Special / Strong Bitter (ESB),12,Other
Blue Mountain Classic Lager,1545,0.053,22,383,Euro Pale Lager,12,Lager
Full Nelson Pale Ale (2010),119,0.059,60,383,American Pale Ale (APA),12,APA
Kölsch 151,1408,0.049,16,415,Kölsch,12,Other
Professor Black,2490,,,78,American Stout,12,Other
Little Boss,2489,,,78,American Pale Wheat Ale,12,Other Ale
Van Dayum!,2488,,,78,American Amber / Red Ale,12,Other Ale
Spirit Animal,2487,,,78,American Pale Ale (APA),12,APA
Toxic Sludge,939,0.07,,490,American Black Ale,16,Other Ale
Blue Point White IPA,692,0.06,40,490,American White IPA,12,IPA
Blue Point Summer Ale,667,0.044,16,490,American Blonde Ale,12,Other Ale
Toasted Lager,665,0.055,28,490,Vienna Lager,12,Lager
Bohemian Export Lager,1607,0.06,,365,Dortmunder / Export Lager,12,Lager
Altus Bohemes Altbier,1597,0.053,,365,Altbier,12,Other
Cherny Bock,344,0.04,,365,Schwarzbier,12,Other
Czech Pilsner,89,0.05,,365,Czech Pilsener,12,Other
Viennese Lager,88,0.05,,365,Vienna Lager,12,Lager
Mad Manatee IPA,1569,0.065,,379,American IPA,12,IPA
Killer Whale Cream Ale,1568,0.055,,379,Cream Ale,12,Other Ale
Duke's Cold Nose Brown Ale,1188,0.06,,379,American Brown Ale,12,Other Ale
Longhop IPA,1891,0.042,30,282,American IPA,16,IPA
Lucky Buck,1890,0.04,34,282,Irish Dry Stout,16,Other
Bomb Lager (New Recipe),577,0.051,,526,Munich Helles Lager,12,Lager
Bomb Lager (Old Recipe),513,0.045,27,526,Munich Helles Lager,12,Lager
Firestarter India Pale Ale,2422,0.066,72,108,American IPA,12,IPA
Kilt Dropper Scotch Ale,1727,0.075,22,108,Scotch Ale / Wee Heavy,16,Other Ale
Wood Splitter Pilsner,1614,0.048,30,108,Czech Pilsener,16,Other
Gyptoberfest,1613,0.056,26,108,Märzen / Oktoberfest,12,Other
Farmer Wirtz India Pale Ale,1549,0.07,94,108,English India Pale Ale (IPA),16,IPA
Slow & Steady Golden Ale,1548,0.047,,108,American Blonde Ale,12,Other Ale
Pink-I Raspberry IPA,1517,0.068,,108,American IPA,16,IPA
Moe's Original Bar B Que 'Bama Brew Golden Ale,1500,0.047,,108,American Blonde Ale,12,Other Ale
Live Local Golden Ale,1421,0.047,,108,American Blonde Ale,12,Other Ale
Screaming Eagle Special Ale ESB,1360,0.048,38,108,Extra Special / Strong Bitter (ESB),12,Other
Dirtbag Dunkel,1184,0.049,,108,Munich Dunkel Lager,16,Lager
Kindler Pale Ale,1183,0.053,45,108,American Pale Ale (APA),12,APA
Mistress Winter Wheat,1023,0.064,,108,Winter Warmer,12,Other
Tent Pole Vanilla Porter,998,0.061,,108,American Porter,16,Other
Awry Rye Pale Ale,997,0.058,,108,American Pale Ale (APA),12,APA
Demshitz Brown Ale,996,0.058,,108,American Brown Ale,12,Other Ale
Wood Splitter Pilsner (2012),931,0.048,,108,Czech Pilsener,12,Other
Brush Creek Blonde,798,0.048,,108,American Blonde Ale,16,Other Ale
Firestarter India Pale Ale,633,0.066,72,108,American IPA,16,IPA
Noche Dulce,2062,0.071,16,232,American Porter,16,Other
Porch Rocker,1830,0.045,8,301,Radler,12,Other
Rebel IPA,1629,0.065,45,301,American IPA,16,IPA
Cold Snap,1601,0.055,,301,Witbier,12,Other
Samuel Adams Winter Lager,1427,0.056,,301,Bock,12,Other
Boston Lager,1349,0.049,30,301,Vienna Lager,16,Lager
Boston Lager,1310,0.049,30,301,Vienna Lager,12,Lager
Samuel Adams Octoberfest,1281,0.053,15,301,Märzen / Oktoberfest,12,Other
Samuel Adams Summer Ale,1144,0.053,7,301,American Pale Wheat Ale,12,Other Ale
Boston Lager,1143,0.049,30,301,Vienna Lager,12,Lager
Hazed & Infused,1395,0.049,35,418,American Pale Ale (APA),12,APA
Hoopla Pale Ale,808,0.057,35,418,American Pale Ale (APA),12,APA
Hazed & Infused (2010),81,0.049,35,418,American Pale Ale (APA),12,APA
Heavy Lifting,2596,0.062,80,32,American IPA,12,IPA
1492,2300,0.065,,168,American Pale Ale (APA),12,APA
Mango Ginger,2299,0.058,,168,American IPA,12,IPA
Passenger,2298,0.047,,168,English Dark Mild Ale,12,Other Ale
Plum St. Porter,2107,0.06,52,220,American Porter,12,Other
Plum St. Porter,1573,0.057,52,220,American Porter,12,Other
Bozone HopZone IPA,1289,0.07,80,220,American IPA,12,IPA
Bozone Hefe Weizen,1288,0.06,25,220,Hefeweizen,12,Other
Bozone Select Amber Ale,470,0.055,,220,American Amber / Red Ale,12,Other Ale
Evil Owl,2167,0.052,40,208,American Amber / Red Ale,12,Other Ale
Post Time Kölsch,2204,0.05,,196,Kölsch,16,Other
Agave Wheat,1522,0.042,9,392,American Pale Wheat Ale,12,Other Ale
SummerBright Ale,397,0.045,15,392,American Pale Wheat Ale,12,Other Ale
Lucky U IPA,193,0.062,68,392,American IPA,12,IPA
Avalanche Ale,83,0.054,19,392,American Amber / Red Ale,12,Other Ale
"You're My Boy, Blue",1802,0.05,,309,Fruit / Vegetable Beer,12,Other
Last Stop IPA,1801,0.072,60,309,American IPA,12,IPA
Rollin Dirty Red Ale,1800,0.05,21,309,Irish Red Ale,12,Other Ale
Are Wheat There Yet?,1799,0.055,28,309,American Pale Wheat Ale,12,Other Ale
Insert Hop Reference,2619,0.058,,20,American Pale Ale (APA),16,APA
Manitou Amber,2468,0.053,,86,American Amber / Red Ale,16,Other Ale
